SampleID,site,ter_in_block,Species.Code,experiment
371,STCK,0,PIRA,Pine gradient
372,STCK,0,PIRA,Pine gradient
387,STCK,0,PIRA,Pine gradient
388,STCK,0,PIRA,Pine gradient
5,DRO,0,PIRA,Pine gradient
6,DRO,0,PIRA,Pine gradient
21,DRO,0,PIRA,Pine gradient
37,DRO,0,PIRA,Pine gradient
38,DRO,0,PIRA,Pine gradient
53,DRO,0,PIRA,Pine gradient
54,DRO,0,PIRA,Pine gradient
69,DRO,0,PIRA,Pine gradient
70,DRO,0,PIRA,Pine gradient
85,MLRF,0,PIRA,Pine gradient
86,MLRF,0,PIRA,Pine gradient
101,MLRF,0,PIRA,Pine gradient
102,MLRF,0,PIRA,Pine gradient
118,MLRF,0,PIRA,Pine gradient
133,MLRF,0,PIRA,Pine gradient
134,MLRF,0,PIRA,Pine gradient
149,MLRF,0,PIRA,Pine gradient
150,MLRF,0,PIRA,Pine gradient
166,PNW,0,PIRA,Pine gradient
181,PNW,0,PIRA,Pine gradient
182,PNW,0,PIRA,Pine gradient
197,PNW,0,PIRA,Pine gradient
198,PNW,0,PIRA,Pine gradient
213,PNW,0,PIRA,Pine gradient
214,PNW,0,PIRA,Pine gradient
229,PNW,0,PIRA,Pine gradient
230,PNW,0,PIRA,Pine gradient
245,MLES,0,PIRA,Pine gradient
246,MLES,0,PIRA,Pine gradient
261,MLES,1,PIRA,Pine gradient
262,MLES,0,PIRA,Pine gradient
277,MLES,0,PIRA,Pine gradient
278,MLES,0,PIRA,Pine gradient
293,MLES,0,PIRA,Pine gradient
294,MLES,0,PIRA,Pine gradient
309,MLES,0,PIRA,Pine gradient
310,MLES,0,PIRA,Pine gradient
NA,STCK,0,PIRA,Pine gradient
7,DRO,0,PIRA,Pine gradient
8,DRO,0,PIRA,Pine gradient
23,DRO,0,PIRA,Pine gradient
24,DRO,0,PIRA,Pine gradient
39,DRO,0,PIRA,Pine gradient
40,DRO,0,PIRA,Pine gradient
55,DRO,0,PIRA,Pine gradient
56,DRO,0,PIRA,Pine gradient
71,DRO,0,PIRA,Pine gradient
72,DRO,0,PIRA,Pine gradient
87,MLRF,0,PIRA,Pine gradient
88,MLRF,0,PIRA,Pine gradient
103,MLRF,0,PIRA,Pine gradient
104,MLRF,0,PIRA,Pine gradient
119,MLRF,0,PIRA,Pine gradient
120,MLRF,0,PIRA,Pine gradient
135,MLRF,0,PIRA,Pine gradient
136,MLRF,0,PIRA,Pine gradient
151,MLRF,0,PIRA,Pine gradient
152,MLRF,0,PIRA,Pine gradient
167,PNW,1,PIRA,Pine gradient
168,PNW,0,PIRA,Pine gradient
183,PNW,1,PIRA,Pine gradient
184,PNW,0,PIRA,Pine gradient
199,PNW,0,PIRA,Pine gradient
200,PNW,0,PIRA,Pine gradient
215,PNW,0,PIRA,Pine gradient
216,PNW,0,PIRA,Pine gradient
231,PNW,0,PIRA,Pine gradient
232,PNW,0,PIRA,Pine gradient
247,MLES,0,PIRA,Pine gradient
248,MLES,0,PIRA,Pine gradient
263,MLES,0,PIRA,Pine gradient
264,MLES,0,PIRA,Pine gradient
279,MLES,0,PIRA,Pine gradient
280,MLES,0,PIRA,Pine gradient
295,MLES,0,PIRA,Pine gradient
296,MLES,0,PIRA,Pine gradient
311,MLES,0,PIRA,Pine gradient
312,MLES,0,PIRA,Pine gradient
327,STCK,1,PIRA,Pine gradient
328,STCK,0,PIRA,Pine gradient
343,STCK,1,PIRA,Pine gradient
344,STCK,0,PIRA,Pine gradient
359,STCK,1,PIRA,Pine gradient
360,STCK,0,PIRA,Pine gradient
375,STCK,0,PIRA,Pine gradient
376,STCK,0,PIRA,Pine gradient
391,STCK,0,PIRA,Pine gradient
392,STCK,0,PIRA,Pine gradient
9,DRO,0,PIRA,Pine gradient
10,DRO,0,PIRA,Pine gradient
25,DRO,0,PIRA,Pine gradient
26,DRO,0,PIRA,Pine gradient
41,DRO,0,PIRA,Pine gradient
57,DRO,0,PIRA,Pine gradient
58,DRO,0,PIRA,Pine gradient
73,DRO,0,PIRA,Pine gradient
74,DRO,0,PIRA,Pine gradient
89,MLRF,0,PIRA,Pine gradient
90,MLRF,0,PIRA,Pine gradient
105,MLRF,0,PIRA,Pine gradient
106,MLRF,0,PIRA,Pine gradient
121,MLRF,0,PIRA,Pine gradient
122,MLRF,0,PIRA,Pine gradient
137,MLRF,0,PIRA,Pine gradient
138,MLRF,0,PIRA,Pine gradient
153,MLRF,0,PIRA,Pine gradient
154,MLRF,0,PIRA,Pine gradient
169,PNW,0,PIRA,Pine gradient
170,PNW,0,PIRA,Pine gradient
185,PNW,0,PIRA,Pine gradient
186,PNW,0,PIRA,Pine gradient
201,PNW,0,PIRA,Pine gradient
202,PNW,0,PIRA,Pine gradient
217,PNW,0,PIRA,Pine gradient
233,PNW,0,PIRA,Pine gradient
249,MLES,0,PIRA,Pine gradient
250,MLES,0,PIRA,Pine gradient
265,MLES,0,PIRA,Pine gradient
266,MLES,0,PIRA,Pine gradient
281,MLES,0,PIRA,Pine gradient
282,MLES,0,PIRA,Pine gradient
297,MLES,0,PIRA,Pine gradient
313,MLES,1,PIRA,Pine gradient
314,MLES,0,PIRA,Pine gradient
329,STCK,0,PIRA,Pine gradient
330,STCK,0,PIRA,Pine gradient
345,STCK,0,PIRA,Pine gradient
346,STCK,0,PIRA,Pine gradient
361,STCK,0,PIRA,Pine gradient
362,STCK,0,PIRA,Pine gradient
377,STCK,0,PIRA,Pine gradient
378,STCK,0,PIRA,Pine gradient
393,STCK,0,PIRA,Pine gradient
394,STCK,0,PIRA,Pine gradient
11,DRO,1,PIRA,Pine gradient
12,DRO,0,PIRA,Pine gradient
27,DRO,0,PIRA,Pine gradient
28,DRO,0,PIRA,Pine gradient
43,DRO,0,PIRA,Pine gradient
44,DRO,0,PIRA,Pine gradient
59,DRO,0,PIRA,Pine gradient
60,DRO,0,PIRA,Pine gradient
75,DRO,0,PIRA,Pine gradient
76,DRO,0,PIRA,Pine gradient
91,MLRF,0,PIRA,Pine gradient
NA,MLRF,0,PIRA,Pine gradient
NA,MLRF,0,PIRA,Pine gradient
NA,MLRF,0,PIRA,Pine gradient
107,MLRF,0,PIRA,Pine gradient
108,MLRF,0,PIRA,Pine gradient
123,MLRF,1,PIRA,Pine gradient
124,MLRF,0,PIRA,Pine gradient
139,MLRF,0,PIRA,Pine gradient
140,MLRF,0,PIRA,Pine gradient
155,MLRF,0,PIRA,Pine gradient
156,MLRF,0,PIRA,Pine gradient
187,PNW,1,PIRA,Pine gradient
188,PNW,0,PIRA,Pine gradient
203,PNW,0,PIRA,Pine gradient
204,PNW,0,PIRA,Pine gradient
219,PNW,0,PIRA,Pine gradient
220,PNW,0,PIRA,Pine gradient
235,PNW,0,PIRA,Pine gradient
236,PNW,0,PIRA,Pine gradient
251,MLES,0,PIRA,Pine gradient
NA,MLES,0,PIRA,Pine gradient
NA,MLES,0,PIRA,Pine gradient
252,MLES,0,PIRA,Pine gradient
267,MLES,0,PIRA,Pine gradient
268,MLES,0,PIRA,Pine gradient
283,MLES,0,PIRA,Pine gradient
284,MLES,0,PIRA,Pine gradient
299,MLES,0,PIRA,Pine gradient
300,MLES,0,PIRA,Pine gradient
315,MLES,0,PIRA,Pine gradient
316,MLES,0,PIRA,Pine gradient
331,STCK,1,PIRA,Pine gradient
332,STCK,0,PIRA,Pine gradient
347,STCK,0,PIRA,Pine gradient
348,STCK,0,PIRA,Pine gradient
363,STCK,1,PIRA,Pine gradient
364,STCK,1,PIRA,Pine gradient
379,STCK,1,PIRA,Pine gradient
380,STCK,0,PIRA,Pine gradient
395,STCK,0,PIRA,Pine gradient
396,STCK,0,PIRA,Pine gradient
14,DRO,0,PIRA,Pine gradient
30,DRO,0,PIRA,Pine gradient
46,DRO,0,PIRA,Pine gradient
61,DRO,0,PIRA,Pine gradient
62,DRO,0,PIRA,Pine gradient
77,DRO,0,PIRA,Pine gradient
78,DRO,0,PIRA,Pine gradient
93,MLRF,0,PIRA,Pine gradient
94,MLRF,0,PIRA,Pine gradient
109,MLRF,0,PIRA,Pine gradient
110,MLRF,0,PIRA,Pine gradient
125,MLRF,0,PIRA,Pine gradient
126,MLRF,0,PIRA,Pine gradient
141,MLRF,0,PIRA,Pine gradient
142,MLRF,0,PIRA,Pine gradient
157,MLRF,0,PIRA,Pine gradient
158,MLRF,0,PIRA,Pine gradient
173,PNW,1,PIRA,Pine gradient
174,PNW,0,PIRA,Pine gradient
189,PNW,1,PIRA,Pine gradient
190,PNW,0,PIRA,Pine gradient
205,PNW,0,PIRA,Pine gradient
206,PNW,0,PIRA,Pine gradient
221,PNW,0,PIRA,Pine gradient
238,PNW,0,PIRA,Pine gradient
253,MLES,1,PIRA,Pine gradient
254,MLES,0,PIRA,Pine gradient
269,MLES,0,PIRA,Pine gradient
270,MLES,0,PIRA,Pine gradient
285,MLES,0,PIRA,Pine gradient
286,MLES,0,PIRA,Pine gradient
301,MLES,0,PIRA,Pine gradient
302,MLES,0,PIRA,Pine gradient
317,MLES,0,PIRA,Pine gradient
318,MLES,0,PIRA,Pine gradient
333,STCK,1,PIRA,Pine gradient
334,STCK,0,PIRA,Pine gradient
349,STCK,0,PIRA,Pine gradient
350,STCK,0,PIRA,Pine gradient
365,STCK,0,PIRA,Pine gradient
366,STCK,0,PIRA,Pine gradient
381,STCK,0,PIRA,Pine gradient
382,STCK,0,PIRA,Pine gradient
397,STCK,0,PIRA,Pine gradient
15,DRO,0,PIRA,Pine gradient
16,DRO,0,PIRA,Pine gradient
31,DRO,0,PIRA,Pine gradient
32,DRO,0,PIRA,Pine gradient
47,DRO,0,PIRA,Pine gradient
63,DRO,0,PIRA,Pine gradient
64,DRO,0,PIRA,Pine gradient
79,DRO,0,PIRA,Pine gradient
80,DRO,0,PIRA,Pine gradient
95,MLRF,0,PIRA,Pine gradient
96,MLRF,0,PIRA,Pine gradient
111,MLRF,0,PIRA,Pine gradient
112,MLRF,0,PIRA,Pine gradient
127,MLRF,0,PIRA,Pine gradient
128,MLRF,0,PIRA,Pine gradient
143,MLRF,1,PIRA,Pine gradient
144,MLRF,0,PIRA,Pine gradient
159,MLRF,0,PIRA,Pine gradient
160,MLRF,0,PIRA,Pine gradient
175,PNW,0,PIRA,Pine gradient
176,PNW,0,PIRA,Pine gradient
191,PNW,0,PIRA,Pine gradient
192,PNW,0,PIRA,Pine gradient
207,PNW,1,PIRA,Pine gradient
208,PNW,0,PIRA,Pine gradient
224,PNW,0,PIRA,Pine gradient
240,PNW,0,PIRA,Pine gradient
255,MLES,0,PIRA,Pine gradient
271,MLES,0,PIRA,Pine gradient
272,MLES,0,PIRA,Pine gradient
287,MLES,0,PIRA,Pine gradient
288,MLES,0,PIRA,Pine gradient
NA,MLES,0,PIRA,Pine gradient
303,MLES,0,PIRA,Pine gradient
304,MLES,0,PIRA,Pine gradient
319,MLES,0,PIRA,Pine gradient
320,MLES,0,PIRA,Pine gradient
335,STCK,0,PIRA,Pine gradient
336,STCK,0,PIRA,Pine gradient
351,STCK,1,PIRA,Pine gradient
352,STCK,0,PIRA,Pine gradient
367,STCK,0,PIRA,Pine gradient
368,STCK,0,PIRA,Pine gradient
383,STCK,1,PIRA,Pine gradient
384,STCK,0,PIRA,Pine gradient
399,STCK,0,PIRA,Pine gradient
400,STCK,0,PIRA,Pine gradient
1041,DRO_drought,0,PIRA,Pine gradient
1042,DRO_drought,0,PIRA,Pine gradient
1043,DRO_drought,0,PIRA,Pine gradient
1044,DRO_drought,0,PIRA,Pine gradient
1045,DRO_drought,0,PIRA,Pine gradient
1046,DRO_drought,0,PIRA,Pine gradient
1047,DRO_drought,0,PIRA,Pine gradient
1048,DRO_drought,0,PIRA,Pine gradient
1049,DRO_drought,0,PIRA,Pine gradient
1050,DRO_drought,0,PIRA,Pine gradient
1051,DRO_drought,1,PIRA,Pine gradient
1052,DRO_drought,0,PIRA,Pine gradient
1053,DRO_drought,0,PIRA,Pine gradient
1054,DRO_drought,0,PIRA,Pine gradient
1055,DRO_drought,0,PIRA,Pine gradient
1056,DRO_drought,0,PIRA,Pine gradient
1057,DRO_drought,0,PIRA,Pine gradient
1058,DRO_drought,0,PIRA,Pine gradient
1059,DRO_drought,0,PIRA,Pine gradient
1060,DRO_drought,0,PIRA,Pine gradient
1061,DRO_drought,0,PIRA,Pine gradient
1062,DRO_drought,1,PIRA,Pine gradient
1063,DRO_drought,0,PIRA,Pine gradient
1064,DRO_drought,0,PIRA,Pine gradient
1065,DRO_drought,0,PIRA,Pine gradient
1066,DRO_drought,0,PIRA,Pine gradient
1067,DRO_drought,0,PIRA,Pine gradient
1068,DRO_drought,0,PIRA,Pine gradient
1069,DRO_drought,0,PIRA,Pine gradient
1070,DRO_drought,0,PIRA,Pine gradient
1071,DRO_drought,0,PIRA,Pine gradient
1072,DRO_drought,0,PIRA,Pine gradient
1073,DRO_drought,1,PIRA,Pine gradient
1074,DRO_drought,0,PIRA,Pine gradient
1075,DRO_drought,0,PIRA,Pine gradient
1076,DRO_drought,0,PIRA,Pine gradient
NA,DRO_drought,0,PIRA,Pine gradient
NA,DRO_drought,0,PIRA,Pine gradient
NA,DRO_drought,0,PIRA,Pine gradient
1077,DRO_drought,0,PIRA,Pine gradient
1078,DRO_drought,0,PIRA,Pine gradient
1079,DRO_drought,0,PIRA,Pine gradient
1080,DRO_drought,0,PIRA,Pine gradient
1261,DRO_drought,0,PIRA,Pine gradient
1262,DRO_drought,0,PIRA,Pine gradient
1263,DRO_drought,0,PIRA,Pine gradient
1264,DRO_drought,0,PIRA,Pine gradient
1265,DRO_drought,0,PIRA,Pine gradient
1267,DRO_drought,0,PIRA,Pine gradient
1268,DRO_drought,0,PIRA,Pine gradient
1269,DRO_drought,0,PIRA,Pine gradient
1270,DRO_drought,0,PIRA,Pine gradient
1271,DRO_drought,0,PIRA,Pine gradient
1272,DRO_drought,0,PIRA,Pine gradient
1273,DRO_drought,0,PIRA,Pine gradient
1274,DRO_drought,0,PIRA,Pine gradient
1275,DRO_drought,0,PIRA,Pine gradient
1276,DRO_drought,0,PIRA,Pine gradient
1277,DRO_drought,0,PIRA,Pine gradient
1278,DRO_drought,0,PIRA,Pine gradient
1279,DRO_drought,0,PIRA,Pine gradient
1280,DRO_drought,0,PIRA,Pine gradient
1281,DRO_drought,0,PIRA,Pine gradient
1282,DRO_drought,0,PIRA,Pine gradient
1283,DRO_drought,0,PIRA,Pine gradient
1284,DRO_drought,0,PIRA,Pine gradient
1285,DRO_drought,0,PIRA,Pine gradient
1286,DRO_drought,0,PIRA,Pine gradient
1287,DRO_drought,0,PIRA,Pine gradient
1288,DRO_drought,0,PIRA,Pine gradient
NA,DRO_drought,0,PIRA,Pine gradient
NA,DRO_drought,0,PIRA,Pine gradient
1289,DRO_drought,0,PIRA,Pine gradient
1290,DRO_drought,0,PIRA,Pine gradient
1291,DRO_drought,0,PIRA,Pine gradient
1292,DRO_drought,0,PIRA,Pine gradient
1293,DRO_drought,0,PIRA,Pine gradient
1294,DRO_drought,0,PIRA,Pine gradient
1295,DRO_drought,0,PIRA,Pine gradient
1296,DRO_drought,0,PIRA,Pine gradient
1297,DRO_drought,0,PIRA,Pine gradient
1298,DRO_drought,0,PIRA,Pine gradient
1299,DRO_drought,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
NA,OLD_RESCUE,0,PIRA,Pine gradient
1152,YOUNG_RESCUE,1,PIRA,Pine gradient
NA,YOUNG_RESCUE,0,PIRA,Pine gradient
NA,YOUNG_RESCUE,0,PIRA,Pine gradient
1332,OLD_RESCUE,0,PIRA,Pine gradient
401,DRO,0,DYPA,Native gradient
402,DRO,0,DYPA,Native gradient
403,DRO,0,DYPA,Native gradient
404,DRO,0,DYPA,Native gradient
405,DRO,0,DYPA,Native gradient
406,DRO,0,DYPA,Native gradient
407,DRO,0,DYPA,Native gradient
408,DRO,0,DYPA,Native gradient
409,DRO,0,DYPA,Native gradient
410,DRO,0,DYPA,Native gradient
411,DRO,0,DYPA,Native gradient
412,DRO,0,DYPA,Native gradient
413,DRO,0,DYPA,Native gradient
414,DRO,0,DYPA,Native gradient
415,DRO,0,DYPA,Native gradient
416,DRO,0,DYPA,Native gradient
417,DRO,0,DYPA,Native gradient
418,DRO,0,DYPA,Native gradient
419,DRO,0,DYPA,Native gradient
420,DRO,0,DYPA,Native gradient
421,DRO,0,DYPA,Native gradient
422,DRO,0,DYPA,Native gradient
423,DRO,1,DYPA,Native gradient
424,DRO,0,DYPA,Native gradient
425,DRO,0,DYPA,Native gradient
426,DRO,0,DYPA,Native gradient
427,DRO,0,DYPA,Native gradient
428,DRO,0,DYPA,Native gradient
429,DRO,0,DYPA,Native gradient
430,DRO,0,DYPA,Native gradient
431,DRO,0,DYPA,Native gradient
432,DRO,0,DYPA,Native gradient
433,DRO,0,DYPA,Native gradient
434,DRO,0,DYPA,Native gradient
435,DRO,0,DYPA,Native gradient
436,DRO,0,DYPA,Native gradient
437,DRO,0,DYPA,Native gradient
438,DRO,0,DYPA,Native gradient
439,DRO,0,DYPA,Native gradient
441,DRO,0,MYGL,Native gradient
442,DRO,0,MYGL,Native gradient
443,DRO,0,MYGL,Native gradient
444,DRO,0,MYGL,Native gradient
445,DRO,0,MYGL,Native gradient
446,DRO,0,MYGL,Native gradient
448,DRO,0,MYGL,Native gradient
449,DRO,0,MYGL,Native gradient
450,DRO,0,MYGL,Native gradient
451,DRO,0,MYGL,Native gradient
452,DRO,0,MYGL,Native gradient
453,DRO,0,MYGL,Native gradient
454,DRO,0,MYGL,Native gradient
455,DRO,0,MYGL,Native gradient
456,DRO,0,MYGL,Native gradient
457,DRO,1,MYGL,Native gradient
458,DRO,0,MYGL,Native gradient
459,DRO,0,MYGL,Native gradient
460,DRO,0,MYGL,Native gradient
461,DRO,0,MYGL,Native gradient
463,DRO,0,MYGL,Native gradient
464,DRO,0,MYGL,Native gradient
465,DRO,0,MYGL,Native gradient
466,DRO,0,MYGL,Native gradient
467,DRO,0,MYGL,Native gradient
468,DRO,0,MYGL,Native gradient
469,DRO,0,MYGL,Native gradient
470,DRO,0,MYGL,Native gradient
471,DRO,0,MYGL,Native gradient
472,DRO,0,MYGL,Native gradient
473,DRO,0,MYGL,Native gradient
474,DRO,0,MYGL,Native gradient
475,DRO,0,MYGL,Native gradient
476,DRO,0,MYGL,Native gradient
477,DRO,0,MYGL,Native gradient
478,DRO,0,MYGL,Native gradient
479,DRO,0,MYGL,Native gradient
480,DRO,0,MYGL,Native gradient
481,DRO,0,CLOB,Native gradient
482,DRO,0,CLOB,Native gradient
483,DRO,0,CLOB,Native gradient
484,DRO,0,CLOB,Native gradient
485,DRO,0,CLOB,Native gradient
486,DRO,0,CLOB,Native gradient
487,DRO,0,CLOB,Native gradient
488,DRO,0,CLOB,Native gradient
489,DRO,0,CLOB,Native gradient
490,DRO,0,CLOB,Native gradient
491,DRO,0,CLOB,Native gradient
492,DRO,0,CLOB,Native gradient
493,DRO,0,CLOB,Native gradient
494,DRO,0,CLOB,Native gradient
495,DRO,0,CLOB,Native gradient
496,DRO,0,CLOB,Native gradient
497,DRO,0,CLOB,Native gradient
498,DRO,0,CLOB,Native gradient
499,DRO,0,CLOB,Native gradient
500,DRO,0,CLOB,Native gradient
501,DRO,0,CLOB,Native gradient
502,DRO,0,CLOB,Native gradient
503,DRO,0,CLOB,Native gradient
504,DRO,0,CLOB,Native gradient
505,DRO,0,CLOB,Native gradient
506,DRO,0,CLOB,Native gradient
507,DRO,0,CLOB,Native gradient
508,DRO,0,CLOB,Native gradient
509,DRO,0,CLOB,Native gradient
510,DRO,0,CLOB,Native gradient
511,DRO,0,CLOB,Native gradient
512,DRO,0,CLOB,Native gradient
513,DRO,0,CLOB,Native gradient
514,DRO,0,CLOB,Native gradient
515,DRO,0,CLOB,Native gradient
516,DRO,0,CLOB,Native gradient
517,DRO,0,CLOB,Native gradient
518,DRO,0,CLOB,Native gradient
519,DRO,0,CLOB,Native gradient
520,DRO,0,CLOB,Native gradient
521,DRO,0,CASU,Native gradient
522,DRO,0,CASU,Native gradient
523,DRO,0,CASU,Native gradient
524,DRO,0,CASU,Native gradient
525,DRO,0,CASU,Native gradient
526,DRO,0,CASU,Native gradient
527,DRO,0,CASU,Native gradient
528,DRO,0,CASU,Native gradient
529,DRO,0,CASU,Native gradient
530,DRO,0,CASU,Native gradient
532,DRO,0,CASU,Native gradient
533,DRO,0,CASU,Native gradient
534,DRO,0,CASU,Native gradient
535,DRO,0,CASU,Native gradient
536,DRO,0,CASU,Native gradient
537,DRO,0,CASU,Native gradient
538,DRO,0,CASU,Native gradient
539,DRO,0,CASU,Native gradient
540,DRO,0,CASU,Native gradient
541,DRO,0,CASU,Native gradient
542,DRO,0,CASU,Native gradient
543,DRO,0,CASU,Native gradient
544,DRO,0,CASU,Native gradient
545,DRO,0,CASU,Native gradient
546,DRO,0,CASU,Native gradient
547,DRO,0,CASU,Native gradient
548,DRO,0,CASU,Native gradient
549,DRO,0,CASU,Native gradient
550,DRO,0,CASU,Native gradient
551,DRO,0,CASU,Native gradient
552,DRO,0,CASU,Native gradient
553,DRO,0,CASU,Native gradient
554,DRO,0,CASU,Native gradient
555,DRO,0,CASU,Native gradient
556,DRO,0,CASU,Native gradient
557,DRO,0,CASU,Native gradient
558,DRO,0,CASU,Native gradient
559,DRO,0,CASU,Native gradient
560,DRO,0,CASU,Native gradient
561,DRO,0,NONO,Native gradient
562,DRO,0,NONO,Native gradient
563,DRO,0,NONO,Native gradient
564,DRO,0,NONO,Native gradient
565,DRO,0,NONO,Native gradient
566,DRO,0,NONO,Native gradient
567,DRO,0,NONO,Native gradient
568,DRO,0,NONO,Native gradient
569,DRO,0,NONO,Native gradient
570,DRO,0,NONO,Native gradient
571,DRO,0,NONO,Native gradient
572,DRO,0,NONO,Native gradient
573,DRO,0,NONO,Native gradient
574,DRO,0,NONO,Native gradient
575,DRO,0,NONO,Native gradient
576,DRO,0,NONO,Native gradient
577,DRO,0,NONO,Native gradient
578,DRO,0,NONO,Native gradient
579,DRO,0,NONO,Native gradient
580,DRO,0,NONO,Native gradient
581,DRO,0,NONO,Native gradient
582,DRO,0,NONO,Native gradient
583,DRO,0,NONO,Native gradient
584,DRO,0,NONO,Native gradient
585,DRO,0,NONO,Native gradient
586,DRO,0,NONO,Native gradient
587,DRO,0,NONO,Native gradient
588,DRO,0,NONO,Native gradient
589,DRO,0,NONO,Native gradient
590,DRO,0,NONO,Native gradient
591,DRO,0,NONO,Native gradient
593,DRO,0,NONO,Native gradient
594,DRO,0,NONO,Native gradient
595,DRO,0,NONO,Native gradient
596,DRO,0,NONO,Native gradient
597,DRO,0,NONO,Native gradient
598,DRO,0,NONO,Native gradient
599,DRO,0,NONO,Native gradient
600,DRO,0,NONO,Native gradient
601,DRO,0,ALSC,Native gradient
602,DRO,0,ALSC,Native gradient
603,DRO,0,ALSC,Native gradient
604,DRO,0,ALSC,Native gradient
605,DRO,0,ALSC,Native gradient
606,DRO,0,ALSC,Native gradient
608,DRO,0,ALSC,Native gradient
609,DRO,0,ALSC,Native gradient
610,DRO,0,ALSC,Native gradient
612,DRO,0,ALSC,Native gradient
613,DRO,0,ALSC,Native gradient
614,DRO,0,ALSC,Native gradient
615,DRO,0,ALSC,Native gradient
616,DRO,0,ALSC,Native gradient
617,DRO,0,ALSC,Native gradient
618,DRO,0,ALSC,Native gradient
619,DRO,0,ALSC,Native gradient
620,DRO,0,ALSC,Native gradient
621,DRO,0,ALSC,Native gradient
622,DRO,0,ALSC,Native gradient
623,DRO,0,ALSC,Native gradient
624,DRO,0,ALSC,Native gradient
625,DRO,0,ALSC,Native gradient
626,DRO,0,ALSC,Native gradient
627,DRO,0,ALSC,Native gradient
628,DRO,0,ALSC,Native gradient
629,DRO,0,ALSC,Native gradient
630,DRO,0,ALSC,Native gradient
631,DRO,0,ALSC,Native gradient
632,DRO,0,ALSC,Native gradient
633,DRO,0,ALSC,Native gradient
