SampleID,site,ter_in_block,Species.Code,experiment
1,DRO,0,PIRA,Pine gradient
2,DRO,0,PIRA,Pine gradient
17,DRO,0,PIRA,Pine gradient
18,DRO,0,PIRA,Pine gradient
33,DRO,0,PIRA,Pine gradient
34,DRO,0,PIRA,Pine gradient
49,DRO,0,PIRA,Pine gradient
50,DRO,0,PIRA,Pine gradient
65,DRO,0,PIRA,Pine gradient
66,DRO,0,PIRA,Pine gradient
81,MLRF,0,PIRA,Pine gradient
82,MLRF,0,PIRA,Pine gradient
97,MLRF,0,PIRA,Pine gradient
98,MLRF,0,PIRA,Pine gradient
113,MLRF,0,PIRA,Pine gradient
114,MLRF,0,PIRA,Pine gradient
129,MLRF,0,PIRA,Pine gradient
130,MLRF,0,PIRA,Pine gradient
145,MLRF,0,PIRA,Pine gradient
146,MLRF,0,PIRA,Pine gradient
209,PNW,0,PIRA,Pine gradient
241,MLES,0,PIRA,Pine gradient
242,MLES,0,PIRA,Pine gradient
257,MLES,0,PIRA,Pine gradient
258,MLES,0,PIRA,Pine gradient
273,MLES,0,PIRA,Pine gradient
274,MLES,0,PIRA,Pine gradient
289,MLES,0,PIRA,Pine gradient
290,MLES,0,PIRA,Pine gradient
305,MLES,0,PIRA,Pine gradient
306,MLES,0,PIRA,Pine gradient
321,STCK,0,PIRA,Pine gradient
322,STCK,0,PIRA,Pine gradient
337,STCK,0,PIRA,Pine gradient
338,STCK,0,PIRA,Pine gradient
353,STCK,0,PIRA,Pine gradient
354,STCK,0,PIRA,Pine gradient
369,STCK,0,PIRA,Pine gradient
370,STCK,0,PIRA,Pine gradient
385,STCK,0,PIRA,Pine gradient
386,STCK,0,PIRA,Pine gradient
1212,PNW,0,PIRA,Pine gradient
3,DRO,0,PIRA,Pine gradient
4,DRO,0,PIRA,Pine gradient
19,DRO,0,PIRA,Pine gradient
20,DRO,0,PIRA,Pine gradient
35,DRO,0,PIRA,Pine gradient
36,DRO,0,PIRA,Pine gradient
51,DRO,0,PIRA,Pine gradient
52,DRO,0,PIRA,Pine gradient
67,DRO,0,PIRA,Pine gradient
68,DRO,0,PIRA,Pine gradient
83,MLRF,0,PIRA,Pine gradient
84,MLRF,0,PIRA,Pine gradient
99,MLRF,0,PIRA,Pine gradient
100,MLRF,0,PIRA,Pine gradient
115,MLRF,0,PIRA,Pine gradient
116,MLRF,0,PIRA,Pine gradient
131,MLRF,0,PIRA,Pine gradient
132,MLRF,0,PIRA,Pine gradient
147,MLRF,0,PIRA,Pine gradient
148,MLRF,0,PIRA,Pine gradient
163,PNW,1,PIRA,Pine gradient
164,PNW,0,PIRA,Pine gradient
179,PNW,0,PIRA,Pine gradient
180,PNW,0,PIRA,Pine gradient
195,PNW,0,PIRA,Pine gradient
211,PNW,0,PIRA,Pine gradient
212,PNW,0,PIRA,Pine gradient
227,PNW,0,PIRA,Pine gradient
228,PNW,0,PIRA,Pine gradient
243,MLES,0,PIRA,Pine gradient
244,MLES,0,PIRA,Pine gradient
259,MLES,0,PIRA,Pine gradient
260,MLES,0,PIRA,Pine gradient
275,MLES,0,PIRA,Pine gradient
276,MLES,0,PIRA,Pine gradient
291,MLES,0,PIRA,Pine gradient
292,MLES,0,PIRA,Pine gradient
307,MLES,0,PIRA,Pine gradient
308,MLES,0,PIRA,Pine gradient
323,STCK,0,PIRA,Pine gradient
324,STCK,0,PIRA,Pine gradient
339,STCK,0,PIRA,Pine gradient
340,STCK,0,PIRA,Pine gradient
355,STCK,0,PIRA,Pine gradient
356,STCK,0,PIRA,Pine gradient
