ID,species,location,latitude,longitude,new_subfamily_names,new_feeding_groups,reference
1,Microcerotermes nervosus,"Darwin, Australia",-12.37,130.867,Amitermitinae,Wood feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
2,Macrognathotermes sunteri,"Darwin, Australia",-12.37,130.867,Termitinae,Soil feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
3,Tumulitermes pastinator,"Darwin, Australia",-12.37,130.867,Nasutitermitinae,Grass feeder,"Nauer, P. A., Hutley, L. B., & Arndt, S. K. (2018). Termite mounds mitigate half of termite methane emissions. Proceedings of the National Academy of Sciences, 115(52), 13306-13311."
4,Coptotermes formosanus,"Kyoto, Japan",35.027,135.783,Heterotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
5,Reticulitermes speratus,"Kyoto, Japan",35.027,135.783,Heterotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
6,Incisitermes minor,"Kyoto, Japan",35.027,135.783,Kalotermitinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
7,Zootermopsis nevadensis,"Kyoto, Japan",35.027,135.783,Archotermopsinae,Wood feeder,"Yanase, Y., Miura, M., Fujii, Y., Okumura, S., & Yoshimura, T. (2013). Evaluation of the concentrations of hydrogen and methane emitted by termite using a semiconductor gas sensor. Journal of wood science, 59(3), 243-248."
8,Microcerotermes nervosus,"Darwin, Australia",-12.24,130.55,Amitermitinae,Wood feeder,"Jamali, H., Livesley, S. J., Dawes, T. Z., Hutley, L. B., & Arndt, S. K. (2011). Termite mound emissions of CH4 and CO2 are primarily determined by seasonal changes in termite biomass and behaviour. Oecologia, 167(2), 525-534."
9,Reticulitermes santonensis,NA,,,Heterotermitinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
10,Zootermopsis nevadensis,NA,,,Archotermopsinae,Wood feeder,"Pester, M., Tholen, A., Friedrich, M. W., & Brune, A. (2007). Methane oxidation in termite hindguts: absence of evidence and evidence of absence. Applied and Environmental Microbiology, 73(6), 2024-2028."
