genus,mound_id,offset
Microcerotermes,NC1,27
Microcerotermes,NC2,26.8
Microcerotermes,TM1,25.8
Microcerotermes,TM10,21.5
Microcerotermes,TM2,19.8
Microcerotermes,TM3,24.5
Microcerotermes,TM4,26
Microcerotermes,TM5,23.6
Microcerotermes,TM6,18.9
Microcerotermes,TM7,21.5
Microcerotermes,TM8,20.9
Microcerotermes,TM9,23.5
